barrio,paquetes,modelo,comercios_barrio,cids_barrio,almacenes_barrio,comercios_seleccionados,semilla,total_kms_walk,total_hours_walk,total_kms_drive,total_hours_drive,distance_cost_van,distance_cost_ona,time_cost_van,time_cost_ona,total_cost
AIORA,850,M1,306.0,28.0,118.0,199.8,3.0,52.934400000000004,11.36542,17.4608,0.60314,3.21278,0.0,301.12846,0.0,304.34126000000003
AIORA,850,M2,306.0,28.0,118.0,199.8,3.0,85.7074,18.22128,0.82822,0.0308,0.1524,4.71392,0.77512,255.23448,260.87588
AIORA,900,M1,306.0,28.0,118.0,207.6,3.0,53.510400000000004,11.47542,17.2448,0.605,3.17304,0.0,303.94308,0.0,307.11616
AIORA,900,M2,306.0,28.0,118.0,207.6,3.0,88.8356,18.88288,1.46042,0.05956,0.26872,4.88598,1.49892,264.50174,271.15532
ALBORS,50,M1,153.0,14.0,72.0,17.8,3.0,6.0176,1.31174,4.662599999999999,0.19556,0.85792,0.0,37.92336,0.0,38.781259999999996
ALBORS,50,M2,153.0,14.0,72.0,17.8,3.0,7.3934,1.60138,0.75912,0.03258,0.13968,0.40664,0.8196999999999999,22.43136,23.7974
ALBORS,100,M1,153.0,14.0,72.0,32.8,3.0,10.415600000000001,2.2531,6.5406,0.25656,1.20348,0.0,63.143119999999996,0.0,64.34662
ALBORS,100,M2,153.0,14.0,72.0,32.8,3.0,12.5066,2.7056,0.9597999999999999,0.0392,0.1766,0.6878599999999999,0.9866400000000001,37.89884,39.74996
ALBORS,150,M1,153.0,14.0,72.0,44.4,3.0,14.721,3.16012,6.6318,0.2835,1.2202600000000001,0.0,86.64298,0.0,87.86323999999999
ALBORS,150,M2,153.0,14.0,72.0,44.4,3.0,17.3308,3.74218,0.8812800000000001,0.039279999999999995,0.16216,0.9531600000000001,0.98896,52.4184,54.52272000000001
ALBORS,200,M1,153.0,14.0,72.0,56.8,3.0,16.446199999999997,3.57492,7.314400000000001,0.2938,1.34586,0.0,97.33716,0.0,98.68302
ALBORS,200,M2,153.0,14.0,72.0,56.8,3.0,20.6916,4.50624,1.2206199999999998,0.0526,0.2246,1.13804,1.32412,63.120979999999996,65.80771999999999
ALBORS,250,M1,153.0,14.0,72.0,68.2,3.0,21.184199999999997,4.59972,7.4398,0.28650000000000003,1.36892,0.0,122.93771999999998,0.0,124.30666000000001
ALBORS,250,M2,153.0,14.0,72.0,68.2,3.0,24.3938,5.3146,0.80216,0.03442,0.1476,1.3416599999999999,0.8659000000000001,74.44434,76.79952
ALBORS,300,M1,153.0,14.0,72.0,76.4,3.0,21.7498,4.76678,6.6598,0.26122,1.2254,0.0,126.50482,0.0,127.73024000000001
ALBORS,300,M2,153.0,14.0,72.0,76.4,3.0,27.5998,6.03356,0.8509599999999999,0.03774,0.15658,1.518,0.9492200000000001,84.515,87.13878
ALBORS,350,M1,153.0,14.0,72.0,85.8,3.0,24.3452,5.3178399999999995,7.694599999999999,0.26932,1.41578,0.0,140.57246,0.0,141.98824
ALBORS,350,M2,153.0,14.0,72.0,85.8,3.0,30.6228,6.728199999999999,1.01404,0.04304,0.18658000000000002,1.68426,1.08326,94.24557999999999,97.19966
ALBORS,400,M1,153.0,14.0,72.0,95.2,3.0,30.712199999999996,6.67418,7.518600000000001,0.28266,1.3834199999999999,0.0,175.03400000000002,0.0,176.41742
ALBORS,400,M2,153.0,14.0,72.0,95.2,3.0,32.897800000000004,7.2278,0.77782,0.03544,0.1431,1.8093800000000002,0.8917200000000001,101.2435,104.08776
ALBORS,450,M1,153.0,14.0,72.0,102.8,3.0,33.416000000000004,7.28468,7.269,0.27594,1.33748,0.0,190.22536,0.0,191.56284
ALBORS,450,M2,153.0,14.0,72.0,102.8,3.0,36.542,7.99932,0.72558,0.030979999999999997,0.13352,2.0098,0.7798200000000001,112.05019999999999,114.97331999999999
ARRANCAPINS,50,M1,495.0,23.0,179.0,18.4,3.0,7.5934,1.6328,6.611,0.258,1.21644,0.0,47.57236,0.0,48.788799999999995
ARRANCAPINS,50,M2,495.0,23.0,179.0,18.4,3.0,10.9386,2.30546,0.9883600000000001,0.03846,0.18184,0.60164,0.9676400000000001,32.293639999999996,34.044760000000004
ARRANCAPINS,100,M1,495.0,23.0,179.0,35.4,3.0,12.0646,2.5799,7.6136,0.29504,1.4009,0.0,72.33402,0.0,73.73488
ARRANCAPINS,100,M2,495.0,23.0,179.0,35.4,3.0,16.089199999999998,3.4155,1.00394,0.03404,0.18474,0.8849,0.85684,47.84266,49.76914
ARRANCAPINS,150,M1,495.0,23.0,179.0,50.0,3.0,16.281,3.4899,8.2912,0.3415,1.52558,0.0,96.39811999999999,0.0,97.92368
ARRANCAPINS,150,M2,495.0,23.0,179.0,50.0,3.0,22.653,4.79208,1.25088,0.0475,0.23020000000000002,1.24592,1.1949400000000001,67.12492,69.79594
ARRANCAPINS,200,M1,495.0,23.0,179.0,63.6,3.0,19.764400000000002,4.25296,7.759399999999999,0.32328,1.42772,0.0,115.13794,0.0,116.56568
ARRANCAPINS,200,M2,495.0,23.0,179.0,63.6,3.0,27.9762,5.9299800000000005,1.1589800000000001,0.04368,0.21324,1.5387,1.0989,83.06433999999999,85.91517999999999
ARRANCAPINS,250,M1,495.0,23.0,179.0,78.6,3.0,23.7804,5.11644,7.7782,0.30802,1.4312,0.0,136.47924,0.0,137.91042
ARRANCAPINS,250,M2,495.0,23.0,179.0,78.6,3.0,32.1028,6.78252,0.7934599999999999,0.029100000000000004,0.14598,1.76566,0.73228,95.00598,97.6499
ARRANCAPINS,300,M1,495.0,23.0,179.0,93.6,3.0,26.211599999999997,5.6432400000000005,7.8436,0.32202000000000003,1.4432,0.0,150.08528,0.0,151.52852000000001
ARRANCAPINS,300,M2,495.0,23.0,179.0,93.6,3.0,36.8634,7.79534,0.8368800000000001,0.032100000000000004,0.154,2.0274799999999997,0.80806,109.19312,112.18268
ARRANCAPINS,350,M1,495.0,23.0,179.0,106.2,3.0,29.1642,6.2641,7.9449999999999985,0.33721999999999996,1.4618600000000002,0.0,166.08877999999999,0.0,167.55068
ARRANCAPINS,350,M2,495.0,23.0,179.0,106.2,3.0,41.8262,8.84114,1.3591799999999998,0.04872,0.25007999999999997,2.30046,1.22548,123.84246,127.6185
ARRANCAPINS,400,M1,495.0,23.0,179.0,119.6,3.0,32.433,6.957039999999999,7.9319999999999995,0.31978,1.4594799999999999,0.0,183.08528,0.0,184.54478
ARRANCAPINS,400,M2,495.0,23.0,179.0,119.6,3.0,47.7526,10.12216,1.0377,0.03722,0.19092,2.6264,0.9361599999999999,141.78626,145.53976
ARRANCAPINS,450,M1,495.0,23.0,179.0,134.4,3.0,37.5164,8.095220000000001,8.677200000000001,0.3532,1.5966,0.0,212.56282000000002,0.0,214.15944
ARRANCAPINS,450,M2,495.0,23.0,179.0,134.4,3.0,53.63199999999999,11.35138,1.18382,0.04462000000000001,0.21781999999999999,2.94976,1.1227800000000001,159.00438,163.2947
ARRANCAPINS,500,M1,495.0,23.0,179.0,147.2,3.0,40.8894,8.797799999999999,8.1882,0.34296,1.5066000000000002,0.0,229.98085999999998,0.0,231.48748
ARRANCAPINS,500,M2,495.0,23.0,179.0,147.2,3.0,58.117200000000004,12.32072,1.0835,0.042179999999999995,0.19938,3.19644,1.06156,172.58248,177.03986
ARRANCAPINS,550,M1,495.0,23.0,179.0,158.4,3.0,44.1072,9.50472,8.389,0.33256,1.54358,0.0,247.50572000000003,0.0,249.04928
ARRANCAPINS,550,M2,495.0,23.0,179.0,158.4,3.0,61.83,13.056239999999999,1.05014,0.04264,0.19319999999999998,3.40068,1.07276,182.88512,187.55172
ARRANCAPINS,600,M1,495.0,23.0,179.0,171.8,3.0,46.19,9.95442,7.923399999999999,0.31812,1.4579,0.0,258.45652,0.0,259.91441999999995
ARRANCAPINS,600,M2,495.0,23.0,179.0,171.8,3.0,67.2334,14.1938,1.2696999999999998,0.04682,0.23362,3.69782,1.17812,198.81934,203.92892
