id,barrio,x,y
96079526,FAVARA,-0.3948401,39.4500522
107926564,FAVARA,-0.3922889,39.4563778
107926591,FAVARA,-0.3957894,39.4561086
107926611,FAVARA,-0.3931535,39.4563201
107926625,FAVARA,-0.3913918,39.4563921
107926633,FAVARA,-0.3907411,39.4563918
112137850,FAVARA,-0.3917311,39.454399
112137857,FAVARA,-0.3913305,39.4549965
112137887,FAVARA,-0.3908936,39.4556422
112597022,FAVARA,-0.3943411,39.450501
116137705,FAVARA,-0.3944998,39.4562168
128296850,FAVARA,-0.3935109,39.4517357
128296894,FAVARA,-0.392197,39.4536885
128296899,FAVARA,-0.3925957,39.4531045
128296937,FAVARA,-0.3931863,39.4522258
254902191,FAVARA,-0.3982859,39.454625
255172065,FAVARA,-0.3972216,39.4554948
255172084,FAVARA,-0.3940114,39.4509853
430294822,FAVARA,-0.3984198,39.4530607
6216350604,FAVARA,-0.3974566,39.4540101
11013720195,FAVARA,-0.3951391,39.4561699
7026776473,FAVARA,-0.396669,39.4556812
29834292,LA PETXINA,-0.3862097,39.4717228
29834297,LA PETXINA,-0.3881979,39.4750696
29834299,LA PETXINA,-0.3899489,39.4774429
30886298,LA PETXINA,-0.3878418,39.4745676
30886300,LA PETXINA,-0.3871722,39.4736246
30886301,LA PETXINA,-0.386615,39.472819
82530017,LA PETXINA,-0.3958736,39.4752073
96028972,LA PETXINA,-0.3920825,39.4699417
104413677,LA PETXINA,-0.3914686,39.4690707
111200255,LA PETXINA,-0.3950543,39.4738956
123789782,LA PETXINA,-0.3900484,39.4693566
129570629,LA PETXINA,-0.3874568,39.4707258
129588870,LA PETXINA,-0.3885155,39.4698702
129607859,LA PETXINA,-0.3930574,39.4712676
130037734,LA PETXINA,-0.3941449,39.4727848
231516827,LA PETXINA,-0.3926914,39.470701
1783289907,LA PETXINA,-0.3894549,39.4768361
3765582864,LA PETXINA,-0.3875302,39.4741176
4890714811,LA PETXINA,-0.3888035,39.4759059
9388742445,LA PETXINA,-0.3945295,39.4733213
10130675121,LA PETXINA,-0.3935203,39.4719103
6783961438,LA PETXINA,-0.3891696,39.476264
69579038,CAMPANAR,-0.3950425,39.4847536
97168106,CAMPANAR,-0.4013559,39.4827484
97168113,CAMPANAR,-0.4014568,39.4834114
97170155,CAMPANAR,-0.4008917,39.4835624
97170158,CAMPANAR,-0.396374,39.485608
107502521,CAMPANAR,-0.4000716,39.4783516
107502525,CAMPANAR,-0.3986263,39.4788072
128249161,CAMPANAR,-0.3907816,39.4861401
128249377,CAMPANAR,-0.3888112,39.4833578
193553217,CAMPANAR,-0.3878895,39.4821121
193553306,CAMPANAR,-0.3870967,39.4809899
193553424,CAMPANAR,-0.3867852,39.4805191
243982707,CAMPANAR,-0.3925476,39.4857253
243982715,CAMPANAR,-0.3935669,39.4853887
243982721,CAMPANAR,-0.3914828,39.4861952
247177596,CAMPANAR,-0.3979515,39.484942
247652383,CAMPANAR,-0.4004318,39.481627
248160249,CAMPANAR,-0.3998422,39.4808198
248160275,CAMPANAR,-0.3995306,39.4803401
248160340,CAMPANAR,-0.3987508,39.4792744
248160498,CAMPANAR,-0.3991947,39.4844053
256627639,CAMPANAR,-0.3997805,39.4773947
256627701,CAMPANAR,-0.399245,39.4761761
316570059,CAMPANAR,-0.3955688,39.4851752
1579374363,CAMPANAR,-0.3994239,39.4784943
11657135664,CAMPANAR,-0.4009662,39.4823809
11661585217,CAMPANAR,-0.3991327,39.4798048
11748417105,CAMPANAR,-0.3875914,39.4816906
1554039307,CAMPANAR,-0.3868082,39.4794404
1554039341,CAMPANAR,-0.3862666,39.4797712
2736281303,CAMPANAR,-0.3983625,39.4751804
2736281306,CAMPANAR,-0.3971357,39.475439
2742863007,CAMPANAR,-0.3890658,39.4786797
2821125777,CAMPANAR,-0.3914133,39.4778857
2821126101,CAMPANAR,-0.390168,39.4782662
10082921154,CAMPANAR,-0.3942367,39.4765542
10940250919,CAMPANAR,-0.3995351,39.4769811
10942342991,CAMPANAR,-0.3879979,39.4839973
10945878700,CAMPANAR,-0.3901813,39.4855574
11663260289,CAMPANAR,-0.400367,39.483778
27747836,MALILLA,-0.3690624,39.4455051
107417865,MALILLA,-0.3730027,39.4529844
107417897,MALILLA,-0.3726611,39.4523352
108538967,MALILLA,-0.3694534,39.4477049
108538988,MALILLA,-0.3691713,39.4470532
110675830,MALILLA,-0.3770971,39.4563055
111132164,MALILLA,-0.379555,39.4553297
113352772,MALILLA,-0.3763906,39.4567249
128309139,MALILLA,-0.3691892,39.4440725
255312125,MALILLA,-0.3690981,39.4448768
430813515,MALILLA,-0.3698536,39.439109
994095280,MALILLA,-0.3747431,39.4552538
1113150373,MALILLA,-0.3711908,39.4502491
1768607869,MALILLA,-0.3735908,39.453668
1768607905,MALILLA,-0.3743897,39.4547542
1827071244,MALILLA,-0.3690966,39.4465486
1827079016,MALILLA,-0.370849,39.4498356
1978467274,MALILLA,-0.380448,39.4549385
2173325981,MALILLA,-0.3754938,39.4566345
8702476511,MALILLA,-0.3699618,39.448489
11362502380,MALILLA,-0.3779922,39.4559368
96078136,PATRAIX,-0.3882819,39.45956
105811181,PATRAIX,-0.3899684,39.4669743
107926558,PATRAIX,-0.3921546,39.45812
